,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1122,7.45,42.94,13.48,8.69,14.89,50.99,51.0,11.2,6.32,66.88,962.03,72.74,34.99,84.35,27.29,12.29,11.78,37.06,9.48
1123,7.31,43.68,13.71,8.64,15.01,51.2,49.94,11.33,6.29,67.25,1018.63,73.45,35.41,86.5,27.77,12.86,11.4,38.12,9.63
1124,7.41,42.48,13.26,8.65,14.98,49.5,50.38,11.06,6.31,67.06,1017.95,72.71,34.85,85.01,27.33,13.49,11.4,38.55,9.4
1125,7.42,42.88,13.11,8.79,15.01,50.29,51.36,11.16,6.28,68.69,1043.33,72.28,34.86,85.04,27.13,13.69,11.24,38.46,9.3
1126,7.47,42.89,13.3,8.97,14.87,50.11,51.56,11.18,6.2,69.0,1044.9,72.35,34.87,86.31,26.34,14.29,11.15,39.35,9.22
1127,7.5,42.6,13.26,8.89,14.93,51.07,51.3,12.18,6.22,69.12,1054.6,75.1,35.16,87.46,26.28,14.36,11.45,39.44,9.37
1128,7.5,43.5,13.56,9.25,15.38,52.1,51.25,12.35,6.27,71.94,1055.88,71.35,35.3,88.45,26.88,15.09,11.58,40.9,9.68
1129,7.71,43.89,13.95,9.16,15.31,51.43,52.42,12.19,6.25,71.96,1070.0,70.45,35.33,87.94,27.17,14.77,11.62,41.6,9.47
1130,7.69,43.51,13.66,9.08,15.32,51.62,52.79,12.15,6.23,71.71,1066.0,70.17,35.45,87.73,27.39,15.15,11.38,41.83,9.41
1131,7.71,43.33,13.4,9.2,15.58,50.21,54.54,12.27,6.22,71.73,1104.0,71.15,35.34,87.98,27.16,14.82,11.39,41.7,9.58
1132,7.67,42.91,14.11,9.3,15.47,48.89,54.88,12.26,6.2,76.6,1130.1,69.82,36.27,89.89,26.96,14.95,11.57,41.93,9.23
1133,7.64,42.46,13.78,9.62,15.37,49.03,54.89,12.46,6.15,75.55,1102.95,71.29,35.0,87.5,26.45,14.23,11.64,41.3,8.98
