trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-04-20,-0.055271671,-0.030361156,-0.004142698,0.0222808399,-0.008214335,-0.039409731,0.000285,-0.03125838,-0.006257948,0.0136447083,-0.006964288,-0.033760167
1994-04-21,0.0813884524,0.0182527209,0.0107557558,0.0350453035,-0.024441271,-0.013438321,0.000285,0.0131556588,0.0080604409,0.0285048375,-0.008898981,0.0046481667
1994-04-22,-0.040125896,-0.006827552,-0.002999997,0.0118970472,0.0074571396,-0.01087643,0.000285,-0.007809307,-0.003119461,0.0150488167,0.0051861846,-0.009251917
1994-04-25,0.0028881277,-0.006592668,-0.023152598,-0.012117719,0.0184332633,0.0180626239,0.000285,-0.005869791,-0.02782472,-0.012606114,0.0153320103,0.008698
1994-04-26,0.0414110975,0.0079589273,-0.006625084,0.0021521112,-0.003581473,0.0081344531,0.000285,0.004703961,-0.009119018,0.0005577468,-0.000975379,0.0031778333
1994-04-27,0.0498878892,-0.01487386,-0.011701667,-0.03274018,0.0201003084,-0.00018139,0.000285,-0.01705769,-0.01538568,-0.037185497,0.0151057949,-0.004050333
1994-04-28,-0.021404248,0.0115128858,-0.009664385,-0.002289254,0.0019313716,0.0124158198,0.000285,0.0200504827,-0.005501144,0.0004217265,-0.004937267,0.0082153333
1994-04-29,0.030179084,-0.046361897,-0.017328738,-0.028739992,0.067614762,0.0720178446,0.000285,-0.049859553,-0.008258258,-0.015937883,0.0555696298,0.0536343333
1994-05-03,0.0514619789,-0.025921953,-0.034686129,-0.042718488,0.0610493823,0.0548673863,0.000285,-0.016791137,-0.031474381,-0.024068163,0.0470604659,0.0277915
1994-05-04,-0.005268035,0.0456079013,0.0630876501,0.0633890884,-0.071234022,-0.050515148,0.000285,0.050002775,0.059098225,0.050376775,-0.061494494,-0.019293583
1994-05-05,-0.045621705,0.0013085445,0.005194734,0.0064240893,0.0001330355,0.0015988802,0.000285,0.0003592796,0.0033245444,0.0046339625,0.0023111136,-0.000043083
1994-05-06,0.0002342224,-0.006563782,-0.015240721,-0.015919938,0.016442506,0.0121038051,0.000285,-0.00566878,-0.017784644,-0.01330475,0.0184810625,0.0014444167
1994-05-09,0.0312161697,-0.019296306,-0.041976052,-0.04724238,0.0528197392,0.0556310652,0.000285,-0.015918482,-0.036560361,-0.039334225,0.0405032898,0.0166999167
1994-05-10,0.018482863,-0.005742888,0.0048670716,-0.015026396,0.0048138324,-0.005170357,0.000285,-0.007389538,0.0057781389,-0.020138412,0.0056054,0.0019000833
1994-05-11,-0.023457665,0.0153183174,0.0043164781,0.0306026478,-0.026672343,-0.030308843,0.000285,0.0176862574,0.0006983861,0.0301284,-0.025401068,-0.02728325
1994-05-12,-0.024795601,-0.006027335,0.0228331796,0.0059218466,-0.009674992,-0.010243093,0.000285,-0.005593219,0.0208739333,0.0029693125,-0.002524193,-0.001662583
1994-05-13,0.0349014362,-0.015231718,-0.025424581,-0.027943803,0.0354800481,0.0281029436,0.000285,-0.014868504,-0.022573031,-0.024476338,0.032793767,0.00912825
1994-05-16,-0.004779875,-0.00495401,-0.008814419,-0.000557154,-0.002309929,-0.005147893,0.000285,-0.006636695,-0.004516181,-0.002075313,-0.004748955,-0.01164875
1994-05-17,-0.016747192,0.018539598,0.0257545785,0.0331553487,-0.03033563,-0.021485746,0.000285,0.013967812,0.0252949556,0.0324631875,-0.027215199,-0.007113167
1994-05-18,-0.010007494,-0.003573245,-0.005473119,0.0080344014,-0.003458304,-0.00824073,0.000285,-0.003583049,-0.007003919,0.0007948625,0.0008863977,-0.001872667
1994-05-19,0.0195311784,-0.006273937,-0.018255817,-0.003209012,0.0098809445,0.0183911702,0.000285,-0.008048083,-0.0169606,-0.003654862,0.009217767,0.0080519167
